url	comment	scores	type
https://www.youtube.com/watch?v=0xMW3vvTBCc	Bangladesh is Pakistan 🇵🇰	[0.10747312009334564, 0.8244838714599609, 0.06804297119379044]	NEWS & POLITICS
https://www.youtube.com/watch?v=vAgwK2gVb6I	Beware J & K civilian, India has installed many monitoring software, so they are monitoring every move you made!!	[0.2803468406200409, 0.666534423828125, 0.05311865359544754]	NEWS & POLITICS
https://www.youtube.com/watch?v=v430BmlLHSM	I want to know is there any bill which was passed without opposition ( Congress ) protesting they basically blame every bill BJP introduced	[0.46197912096977234, 0.5159969925880432, 0.02202378399670124]	NEWS & POLITICS
https://www.youtube.com/watch?v=cRBax1RmTgc	Ask Mukesh Ambani to withdraw his join business with FB. Problem solved	[0.045143067836761475, 0.7754386067390442, 0.17941825091838837]	NEWS & POLITICS
https://www.youtube.com/watch?v=3ZbKAEQZHiE	Interview Klaus Schwab	[0.07804232835769653, 0.8716832995414734, 0.050274476408958435]	NEWS & POLITICS
https://www.youtube.com/watch?v=6aMRQGwiuo8	There's gotta be a difference between lien to people and lien to the entire world prey that God pulls back the veil of lies that absolutely plague politics.	[0.42812207341194153, 0.5205132365226746, 0.05136463791131973]	NEWS & POLITICS
https://www.youtube.com/watch?v=TbV7RMwCBpE	Hillary and Benghazi... Bidan and Afghanistan... DHS and patriots.	[0.3984600305557251, 0.5665940046310425, 0.03494596108794212]	NEWS & POLITICS
https://www.youtube.com/watch?v=TbV7RMwCBpE	*Hunter Biden getting more crack than Joke Biden at a Boy Scout rally.*	[0.4093725085258484, 0.5162465572357178, 0.07438091933727264]	NEWS & POLITICS
https://www.youtube.com/watch?v=T46XQHCUgmc	Are the officers who moved the railings out of the way testifying?	[0.1791662573814392, 0.8047240972518921, 0.016109649091959]	NEWS & POLITICS
https://www.youtube.com/watch?v=T46XQHCUgmc	The answer is obvious someone was orchestrating this event because we all seen the individual waving his hands and motioning to people which way to go	[0.27627813816070557, 0.6743107438087463, 0.049411118030548096]	NEWS & POLITICS
https://www.youtube.com/watch?v=Jdf2Q9novjs	Poland, you deal with them. Didn’t see Poland taking any refugees from middle east when Europe wanted to share. Poland wants all the benefits of EU while picking and choosing how committed to EU they are.	[0.38600635528564453, 0.5473356246948242, 0.06665798276662827]	NEWS & POLITICS
https://www.youtube.com/watch?v=ZRyyONsrMlM	"Kids who sang ""Rain rain go away"": 😶"	[0.2637229263782501, 0.6296610832214355, 0.10661608725786209]	NEWS & POLITICS
https://www.youtube.com/watch?v=dJ4ZS4GSX5I	My heart goes out to all Indonesian who lost their love ones my neighbor country. It's time to turn to God and accept Jesus as our Lord and Savior of our soul. These are the signs that Jesus is coming	[0.08061648905277252, 0.5052564740180969, 0.41412705183029175]	NEWS & POLITICS
https://www.youtube.com/watch?v=RvOeWJTbc84	Stop fracking there then and the planet will go through many different types of environments, ask the cavemen of pompay what they think about climate change 🖕🏽	[0.41663968563079834, 0.5375843644142151, 0.04577585682272911]	NEWS & POLITICS
https://www.youtube.com/watch?v=RvOeWJTbc84	It's like chain ⛓ reaction and I think we are to late to stop it but we can slow down at least	[0.26179736852645874, 0.641945481300354, 0.0962570533156395]	NEWS & POLITICS
https://www.youtube.com/watch?v=MgEMapBF09U	"Pope Francis: ""Look! A distraction!"""	[0.2906302213668823, 0.5650082230567932, 0.1443614512681961]	NEWS & POLITICS
https://www.youtube.com/watch?v=MgEMapBF09U	Not a single female among them.	[0.30805179476737976, 0.6542015671730042, 0.037746693938970566]	NEWS & POLITICS
